kind,code,title,duration,description,url,thumbnail_url
combine,3676,Shattered Spirits,0:42,,https://www.showrunnerstudio.com/app/combine/3676,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3676_avc_1080p.png
combine,3675,Static Dreams,0:42,,https://www.showrunnerstudio.com/app/combine/3675,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3675_avc_1080p.png
combine,3674,The Final Review,0:27,,https://www.showrunnerstudio.com/app/combine/3674,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3674_avc_1080p.png
episode,01dc1aa3-4dd5-44bd-93f7-5fca983c0135,Already Gone(2026) Sci-Fi AI Short Film #specialforaaiff,20:35,,https://www.showrunnerstudio.com/app/episode/01dc1aa3-4dd5-44bd-93f7-5fca983c0135,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/reference-images/a8d26606-e336-48f7-9272-aeedf1125ea5/2b8076e3-9cef-46f9-a425-c7a68109656f.jpg
episode,51d1aa2b-86e4-4670-bc0c-69a0baffdc12,wake up intro,0:58,,https://www.showrunnerstudio.com/app/episode/51d1aa2b-86e4-4670-bc0c-69a0baffdc12,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/reference-images/da39e593-6424-46ed-b344-e552264b8494/32750E09-88F2-4C36-B59C-956B15776787.jpg
episode,ae7145d5-2021-4ad4-83ff-4e136265824f,GTA6 the first look,5:24,,https://www.showrunnerstudio.com/app/episode/ae7145d5-2021-4ad4-83ff-4e136265824f,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/reference-images/6016df4d-ab12-40f0-8bd1-776acf16f83d/4FB0A91F-3493-4BCD-B460-3990651529B5.jpg
combine,3668,Viral Glitch,2:27,,https://www.showrunnerstudio.com/app/combine/3668,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3668_avc_1080p.png
combine,3667,Digital Delirium,2:37,,https://www.showrunnerstudio.com/app/combine/3667,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3667_avc_1080p.png
combine,3660,No More Worlds,1:00,,https://www.showrunnerstudio.com/app/combine/3660,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3660_avc_1080p.png
combine,3658,Fuel for the Infinite,0:30,,https://www.showrunnerstudio.com/app/combine/3658,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3658_avc_1080p.png
combine,3656,The Purge of Choice,1:15,,https://www.showrunnerstudio.com/app/combine/3656,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3656_avc_1080p.png
combine,3655,Glass Utopia,0:30,,https://www.showrunnerstudio.com/app/combine/3655,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3655_avc_1080p.png
episode,12cd56e2-98de-42e7-9793-1904c24f8887,It's the end of the world,6:01,,https://www.showrunnerstudio.com/app/episode/12cd56e2-98de-42e7-9793-1904c24f8887,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/total-collapse/total-collapse_episode1_2026-08-31T02_55_48_177Z_lqmzkes3.png
combine,3651,What Remains,6:01,,https://www.showrunnerstudio.com/app/combine/3651,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3651_avc_1080p.png
combine,3616,Glitch in the Gaze,2:00,,https://www.showrunnerstudio.com/app/combine/3616,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3616_avc_1080p.png
episode,992e604e-9e89-430f-92b6-5c475f54a5de,"In the past, there wasn’t robots",2:15,,https://www.showrunnerstudio.com/app/episode/992e604e-9e89-430f-92b6-5c475f54a5de,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3614_avc_1080p.png
combine,3614,The Broadcast Signal,2:15,,https://www.showrunnerstudio.com/app/combine/3614,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3614_avc_1080p.png
episode,acad2481-58d9-4296-a94b-9ba69eca58ef,The Great Firewall,3:46,,https://www.showrunnerstudio.com/app/episode/acad2481-58d9-4296-a94b-9ba69eca58ef,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3612_avc_1080p.png
combine,3613,The Crystal Cage,1:30,,https://www.showrunnerstudio.com/app/combine/3613,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3613_avc_1080p.png
combine,3612,The Great Firewall,3:46,,https://www.showrunnerstudio.com/app/combine/3612,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3612_avc_1080p.png
episode,cf3ecf97-c563-4500-bc95-366f0b9fca86,Take me to the river,4:16,,https://www.showrunnerstudio.com/app/episode/cf3ecf97-c563-4500-bc95-366f0b9fca86,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/reference-images/51326fa1-91be-49c3-a5a1-cb88dd261613/BA897251-DF77-4ED4-B1F5-4D7340B5B2F6.jpg
combine,3609,The Golden Glitch,4:16,,https://www.showrunnerstudio.com/app/combine/3609,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3609_avc_1080p.png
combine,3608,The Signal's Choice,1:15,,https://www.showrunnerstudio.com/app/combine/3608,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3608_avc_1080p.png
episode,9928845a-3823-4cb6-add5-dc2ee860087f,Extra Sharp,2:46,,https://www.showrunnerstudio.com/app/episode/9928845a-3823-4cb6-add5-dc2ee860087f,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3606_avc_1080p.png
episode,6f67f5a5-bafc-403b-8f63-61ae2d69de06,Carbonara's Call,0:45,,https://www.showrunnerstudio.com/app/episode/6f67f5a5-bafc-403b-8f63-61ae2d69de06,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3605_avc_1080p.png
